Zip,Zip,NAICSIndustry,PctLoanMin
93643.0,93643.0,Full-Service Restaurants ,20.61580977781476
93643.0,93643.0,Gasoline Stations with Convenience Stores ,13.542341525058117
93643.0,93643.0,Supermarkets and Other Grocery (except Convenience) Stores ,9.476546093758062
93643.0,93643.0,New Single-Family Housing Construction (except For-Sale Builders) ,7.211512556317762
93643.0,93643.0,Other Vegetable (except Potato) and Melon Farming ,4.555624805610667
93643.0,93643.0,Landscape Architectural Services,4.088911340622788
93643.0,93643.0,Other Management Consulting Services ,3.5487804453211558
93643.0,93643.0,Pet and Pet Supplies Stores ,3.355062613672891
93643.0,93643.0,Other Miscellaneous Durable Goods Merchant Wholesalers ,2.4418214073310707
93644.0,93644.0,Offices of Dentists ,7.352786388004328
93644.0,93644.0,Full-Service Restaurants ,6.92901236081202
93644.0,93644.0,Hotels (except Casino Hotels) and Motels ,6.3697708642654085
93644.0,93644.0,UNKNOWN,3.321021921901911
93644.0,93644.0,All Other Specialty Food Stores ,2.8688603503923855
93644.0,93644.0,General Automotive Repair ,2.600954332877266
93644.0,93644.0,"Automotive Body, Paint, and Interior Repair and Maintenance ",2.4455216447029247
93644.0,93644.0,Land Subdivision ,2.323242125719072
93644.0,93644.0,Religious Organizations ,2.302621633478962
93644.0,93644.0,Industrial Building Construction ,2.289905663264227
93645.0,93645.0,"General Freight Trucking, Local ",49.6782740348221
93645.0,93645.0,Engineering Services,35.48448145344436
93645.0,93645.0,Offices of Mental Health Practitioners (except Physicians) ,14.837244511733536
93645.0,93645.0,Drycleaning and Laundry Services (except Coin-Operated) ,0.0
93649.0,93649.0,Marinas,100.0
93651.0,93651.0,UNKNOWN,21.162189627214502
93651.0,93651.0,Limited-Service Restaurants ,15.37527225319825
93651.0,93651.0,Solid Waste Collection ,11.421658976500849
93651.0,93651.0,Fuel Dealers ,11.285055596097433
93651.0,93651.0,All Other Miscellaneous Fabricated Metal Product Manufacturing ,8.946338703173451
93651.0,93651.0,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,8.78903784089073
93651.0,93651.0,"Crop Harvesting, Primarily by Machine ",6.078653309076937
93651.0,93651.0,"All Other Professional, Scientific, and Technical Services",4.445030632174622
93651.0,93651.0,Full-Service Restaurants ,4.188086178558675
93651.0,93651.0,All Other Miscellaneous Crop Farming ,1.7313936389226516
